,Abbrev,Full Name,Description
64,HB,Hand Balls,Foul for handball
65,HT,Hat Tricks,Player scores 3 goals in a game
66,HCA,High Claims Attempted,Goalkeeper attempts to catch a cross
67,HCS,High Claims Succeeded,Goalkeeper catches a cross
68,Int,Interceptions,Player intercepts a pass
69,IntB,Interceptions in the Box,Interception made within the box
70,L,Losses,"A loss by the player's team. The player only gets credit for the loss if he plays 60+ min, and is on his team's official Active roster or he is suspended."
71,Min,Minutes Played,Minutes Played
72,Off,Offsides,Offsides
73,Off/90M,Offsides Per 90 Minutes,Offsides Per 90 Minutes
74,Off/G,Offsides Per Game,Offsides Per Game
75,OO,One-on-Ones,Total goalkeeper one-on-one situations against an attacker
76,Pa,Passes,"Total attempted passes (excluding crosses, goal kicks, keeper throws and throw-ins)"
77,Pc%,Passing Completion Percentage,Completed Passes / Attempted Passes
78,Pen,Penalties,Penalties conceded (including handballs)
79,PKG,Penalty Kick Goals,Penalty Kick Goals
80,PKGA,Penalty Kick Goals Against,Penalty Kick Goals Against
81,PKS,Penalty Kick Saves,Number of penalty kicks saved by the goalie
82,PKA,Penalty Kicks Attempted,Number of penalty kicks taken by the shooter
83,PKD,Penalty Kicks Drawn,Player fouled within the penalty box (excludes any penalty kicks drawn for handballs)
84,PKF,Penalty Kicks Faced,Number of penalty kicks faced by the goalie
85,PKM,Penalty Kicks Missed,Number of penalty kicks where the shooter did not score
86,Pts,Points,Goals + Assists
87,Pt/90M,Points Per 90 Minutes,Points Per 90 Minutes
88,Pt/G,Points Per Game,Points Per Game
89,PL,Possessions Lost,Total losses of possession
90,PLC,Possessions Lost - Control,Total losses of possession excluding clearances & long GK distribution
91,Pu,Punches,Goalkeeper punches the ball clear from a high ball
92,RC,Red Cards,"If a player receives a red card and then has his red card rescinded at a later time, his red card will remain (i.e. he will have credit for both a red card and a red card rescinded)."
93,RCR,Red Cards Rescinded,Red card rescinded by the referee
94,Sv%,Save Percentage,Save Percentage
95,Sv,Saves,Saves
96,SvIB,Saves Inside the Box,Saves Inside the Box
97,SvOB,Saves Oustide the Box,Saves Oustide the Box
98,SYC,Second Yellow Cards,Second Yellow Cards
99,SA,Shooting Accuracy,Shots on Goal / Shots
100,Sh,Shots,Shots
101,ShA,Shots Against,"Any shot against the goalie, whether or not it missed the net"
102,ShA,Shots Against Defenders,Shots conceded by the team while the defender was on the field
103,ShA,Shots Against Forwards,Shots conceded by the team while the forward was on the field
104,ShA,Shots Against Midfielders,Shots conceded by the team while the midfielder was on the field
105,ShA,Shots Against Outfielders,Shots conceded by the team while the player was on the field
106,SB,Shots Blocked,Shots blocked (against the shooter)
107,ShA,Shots On Goal Against,Shots On Goal Against
108,ShG/90M,Shots On Goal Per 90 Minutes,Shots On Goal Per 90 Minutes
109,ShG/G,Shots On Goal Per Game,Shots On Goal Per Game
110,Sh/90M,Shots Per 90 Minutes,Shots Per 90 Minutes
111,Sh/G,Shots Per Game,Shots Per Game
112,SOP,Shots off the Post,Shots off the Post
113,SOG,Shots on Goal,Shots on Goal
114,Sm,Smothers,Smothers
115,SubOff,Substitutions Off,Substitutions Off
116,SubOn,Substitutions On,Substitutions On
117,SFTP,Successful Final Third Passes,"Total successful passes where the ball ends in the final third of the pitch (excluding throw-ins, keeper throws, goal kicks and crosses)."
118,Tk,Tackles,Total tackle attempts
119,TLM,Tackles - Last Man,When a player makes a defensive action/tackle and they are the last person between the opponent and the goal
120,TkW,Tackles Won,Total tackles won (winning possession or putting the ball out of play)
121,T,Ties,Ties
122,W,Wins,"A win by the player's team. The player only gets credit for the win if he plays 60+ min, and is on his team's official Active roster or he is suspended."
123,YC,Yellow Cards,Yellow Cards
